route_short_name,trip_headsign
0001,Shanard Avenue - Simmonscourt View
0001,Simmonscourt View - Shanard Avenue
056A,The Square - Barrow Street
056A,Barrow Street - The Square
0075,The Square - Queen's Road
0075,Queen's Road - The Square
0114,Simons Ridge - Train Station
0114,Train Station - Simons Ridge
0130,National Lottery - Cemetery
0130,Cemetery - Abbey Theatre
0150,Irish Times - Church
0150,Church - Irish Times
007D,Mountjoy Square - Castle Street
007D,Castle Street - Mountjoy Square
0008,Mountjoy Square - Castle Street
0008,Castle Street - Mountjoy Square
025X,Golf Course - Campus
025X,Campus - Meadowview Grove
0038,Burlington Place - I.B.M.
0038,I.B.M. - Burlington Place
041B,National Lottery - Cemetery
041B,Cemetery - National Lottery
051X,Dunawley Grove - Campus
065B,Cinema - Bianconi Avenue
065B,Bianconi Avenue - Cinema
066X,Campus - Kingsbury
066X,Kingsbury - Campus
0067,Holles Street - Maynooth Station
0067,Maynooth Station - Holles Street
0184,Rail Station - Newcastle Hospital
0184,Newcastle Hospital - Rail Station
0042,Opposite Marlborough Street (Stop ED) - Wendell Avenue
0042,Wendell Avenue - Abbey Theatre
0043,Opposite Marlborough Street (Stop ED) - Glen Ellan Park
0043,Glen Ellan Park - Abbey Theatre
0111,Loughlinstown Wood - Queen's Road
0111,Queen's Road - Loughlinstown Wood
0747,Victoria Quay - Terminal 1
0747,Terminal 1 - Victoria Quay
0014,Holy Cross Church - Kilmore Road
0014,Kilmore Road - Holy Cross Church
0061,Rockbrook Park School - Prince's Street South
0061,D'Olier Street Junction Burgh Quay (Stop - Rockbrook Park School
0016,Terminal 1 - Stone Masons Way
0016,Stone Masons Way - Terminal 1
033X,Custom House - St. Paul's Crescent
033X,Barnageeragh Road - Huguenot Cemetery
038A,Burlington Place - I.B.M.
038A,I.B.M. - Burlington Place
0070,Burlington Place - Navan Road
0070,Navan Road - Burlington Place
0039,Campus - Hansfield Road
0039,Hansfield Road - Burlington Place
040D,Junction Parnell Place (Stop PU) - Carlton Hotel
040D,Carlton Hotel - Junction Parnell Place (Stop PU)
041A,Abbeyvale - National Lottery
041X,Abbeyvale - Campus
041X,Campus - Abbeyvale
0068,Cinema - Business Park
0068,Business Park - Cinema
068A,Cinema - Luby Road
068A,Luby Road - Cinema
0185,Rail Station - Enniskerry Golf Club
0185,Enniskerry Golf Club - Rail Station
0332,Railway Station - Opposite the Burrow Estate
0013,Bus Garage - Wyeth
0013,Wyeth - Bus Garage
0018,Hollyville Lawn - Pine Road
0018,Simmonscourt View - Hollyville Lawn
0053,Junction Lower Gardiner Street - Alexandra Road Irish Ferries Terminal
0053,Alexandra Road Irish Ferries Terminal - Junction Lower Gardiner Street
0123,Walkinstown Road - Malahide Road
0123,Malahide Road - Walkinstown Road
031B,National Lottery - Howth Summit
031B,DART Station - Abbey Theatre
0032,National Lottery - Garda Station
0032,St. James's Terrace - Abbey Theatre
046A,Phoenix Pk Gate - Queen's Road
046A,Queen's Road - Phoenix Pk Gate
051D,Monastery Road - Pembroke Lane
051D,Cinema - Woodford Court
067X,Salesian College - Campus
067X,Campus - Maynooth Station
0069,Community School - Cinema
0069,Cinema - Community School
069X,Cinema - Community School
069X,Community School - Cinema
084A,RDS - Rail Station
084A,Rail Station - RDS
0104,Bus Garage - Shanard Avenue
0104,Shanard Avenue - Bus Garage
017A,Shopping Centre - Naomh Barrog GAA Club
017A,Naomh Barrog GAA Club - Shopping Centre
014C,Holy Cross Church - Opposite Marlborough Street (Stop ED)
014C,Kilmore Road - D'Olier Street Junction Burgh Quay (Stop
025B,Holles Street - Rail Station
025B,Rail Station - Holles Street
027X,Clare Hall Estate - Campus
027X,Campus - Clare Hall Estate
077A,Barrow Street - Bianconi Avenue
077A,Bianconi Avenue - Barrow Street
038B,I.B.M. - Burlington Place
038B,Burlington Place - I.B.M.
039A,Campus - Hansfield Road
039A,Hansfield Road - Campus
040B,Junction Parnell Place (Stop PU) - River Meade Avenue
040B,River Meade Avenue - Junction Parnell Place (Stop PU)
