route_short_name,trip_headsign,stop_sequence,stop_id,stop_name
0001,Shanard Avenue - Simmonscourt View,1,0226,"Shanard Road, Santry"
0001,Shanard Avenue - Simmonscourt View,2,0228,"Shanliss Rd, Santry"
0001,Shanard Avenue - Simmonscourt View,3,0229,"Shanliss Rd, Santry"
0001,Shanard Avenue - Simmonscourt View,4,0227,"Shanliss Rd, Santry"
0001,Shanard Avenue - Simmonscourt View,5,0230,"Shanliss Rd, Santry"
0001,Shanard Avenue - Simmonscourt View,6,0231,"Swords Road, Santry"
0001,Shanard Avenue - Simmonscourt View,7,1641,"Swords Road, Whitehall"
0001,Shanard Avenue - Simmonscourt View,8,1642,"Swords Road, Whitehall"
0001,Shanard Avenue - Simmonscourt View,9,0213,"Swords Road, Whitehall"
0001,Shanard Avenue - Simmonscourt View,10,0214,"Swords Road, Whitehall"
0001,Shanard Avenue - Simmonscourt View,11,4432,"Swords Road, Whitehall"
0001,Shanard Avenue - Simmonscourt View,12,0119,"Drumcondra Rd, Whitehall"
0001,Shanard Avenue - Simmonscourt View,13,0044,"Drumcondra Rd, Drumcondra"
0001,Shanard Avenue - Simmonscourt View,14,0045,"Drumcondra Rd, Drumcondra"
0001,Shanard Avenue - Simmonscourt View,15,0046,"Drumcondra Rd, Drumcondra"
0001,Shanard Avenue - Simmonscourt View,16,0047,"Drumcondra Rd, Drumcondra"
0001,Shanard Avenue - Simmonscourt View,17,0048,"Drumcondra Rd, Drumcondra"
0001,Shanard Avenue - Simmonscourt View,18,0049,"Lowr Dorset St, Ballybough"
0001,Shanard Avenue - Simmonscourt View,19,0050,"Lowr Dorset St, Dublin"
0001,Shanard Avenue - Simmonscourt View,20,0051,"Uppr Dorset St, Dublin"
0001,Shanard Avenue - Simmonscourt View,21,0052,"Uppr Dorset St, Dublin"
0001,Shanard Avenue - Simmonscourt View,22,0265,"Parnell Square E, Dublin"
0001,Shanard Avenue - Simmonscourt View,23,0271,"O'Connell St, Dublin"
0001,Shanard Avenue - Simmonscourt View,24,0340,"Townsend St, Trinity College"
0001,Shanard Avenue - Simmonscourt View,25,0350,"Lowr Sandwith St, Dublin City South"
0001,Shanard Avenue - Simmonscourt View,26,0351,"Pearse Street, Pearse Station"
0001,Shanard Avenue - Simmonscourt View,27,0352,"Pearse Street, Grand Canal Dock"
0001,Shanard Avenue - Simmonscourt View,28,0353,"Pearse Street, Grand Canal Dock"
0001,Shanard Avenue - Simmonscourt View,29,0354,"Ringsend Road, Grand Canal Dock"
0001,Shanard Avenue - Simmonscourt View,30,0355,"Ringsend Road, Grand Canal Dock"
0001,Shanard Avenue - Simmonscourt View,31,0356,"Bridge Street, Ringsend"
0001,Shanard Avenue - Simmonscourt View,32,0357,"Irishtown Rd, Irishtown"
0001,Shanard Avenue - Simmonscourt View,33,0390,"Tritonville Road, Sandymount"
0001,Shanard Avenue - Simmonscourt View,34,0372,"Sandymount Rd, Sandymount"
0001,Shanard Avenue - Simmonscourt View,35,0373,"Sandymount Rd, Sandymount"
